hata,hata_tipi
Ayrık podyum 6kat 2 etap 31503580 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
VT1617 asansör kuyu içine su akması çelik profillerin paslanmaya başlaması ,İmalat Hatası
VT10 asansörü kuyu içi çelik imalatında boya eksikleri profil üzerinde harç kalıntıları kalması ,İmalat Hatası
Konferans salonu üzeri 600 kotu çelik döşemesinde INP300 kirişinin ankrajında dübellerin betonu patlatması geçersiz olması ,İmalat Hatası
VT03 asansör kuyu içine su akması çelik profiller baklava sacların paslanmaya başlaması ,İmalat Hatası
VT04 asansör kuyu içine su akması çelik profiller baklava sacların paslanmaya başlaması ,İmalat Hatası
VT09 asansör kuyu içine su akması çelik profiller baklava sacların paslanmaya başlaması ,İmalat Hatası
VT10 asansör kuyu içine su akması çelik profiller baklava sacların paslanmaya başlaması ,İmalat Hatası
SM02  SM41 şaft içi temizliği ,İmalat Hatası
BBB7 yangın pompa odası kaba tamiratları hakkında ,İmalat Hatası
Kule 36kat 1605016480 arası HVAC SM05 şaftı B3 çekirdek perdesi içerisinde köpük cüruf oluşması boşluk oluşturması ,İmalat Hatası
VT08 asansörü kuyu içinde sökülmemiş hatıl kalıplarının çelik imalatında boya eksiklerinin kalması ,İmalat Hatası
Konferans salonu üzeri 600 kotu çelik döşeme imalatı hk ,İmalat Hatası
Çok amaçlı salon üzeri 600 kotu çelik döşeme imalatı hk ,İmalat Hatası
600 kotu SM25 JETFAN ŞAFTI parapeti hk ,İmalat Hatası
Ayrık podyum 6kat 3 etap 31503580 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Çok amaçlı salon üzeri 600 kotu çelik döşeme imalatında kayıcı mesnet tarafında çalışma boşluğunun azalması ,İmalat Hatası
VT14 asansörü kuyu dibi 480 kotu döşeme yükseltme imalatı hk ,İmalat Hatası
Konferans salonu üzeri 600 kotu çelik döşeme imalatında kayıcı sabit mesnet tarafında guselerde çalışma boşluğunun azalması ,İmalat Hatası
Podyum 8kat kalıp söküsünün aydır yapılmadığı ,İmalat Hatası
SM01 kat boyunca şaft içi tamiratları hakkında ,İmalat Hatası
VT05 asansörü kat boyunca çelik profillerin temizlenip antipası yapılması hakkında ,İmalat Hatası
VT05 asansörü çelik profil imalatları ölçülerinin kaydırılması hakkında ,İmalat Hatası
Kule 20560 kotu 1etap döşemesi taç ankrajlarının betonlanması altının boş kalması ,İmalat Hatası
Kule 44 kat 2etap 1949019920 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
P9 etap AS180AS182 no’lu kolonlarda yüzeylerde kil görülmesi boşluk oluşması üst kısımda agregasız şerbet birikmesi ,İmalat Hatası
Kule bitişik podyum 8etap 7kat 35804010 kotları arası kolon döşeme altı etap geneli kaba yapı kusurları ,İmalat Hatası
VT06 asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
VT0607 Asansör Monoray İmalatında Eksik Dübel Dübelin Betonu Patlatması ,İmalat Hatası
VT08 asansör 4kat hakkında ,İmalat Hatası
VT14 asansörü kuyu dibi döşeme hk ,İmalat Hatası
VT15 asansörü kuyu dibi döşemesinde dikey kolon ankraj dübellerinin betonu patlatması işlevsiz kalması hk ,İmalat Hatası
VT20 asansörü kuyu içi çelik profilin kuyuyu ortalamaması sol kuyuda mm daralma sağ kuyuda mm genişleme olması ,İmalat Hatası
VT07 asansörü kuyu içi çelik imalatı hk ,İmalat Hatası
Ayrık podyum 7kat 1 etap 35804010 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
VT15 asansörü kuyu içi çelik imalatında profil üzerinde harç dökülmesi ,İmalat Hatası
Kule 20560 kotu 2etap döşemesi taç ankrajlarının betonlanması altının boş kalması ,İmalat Hatası
Kule VİP cephe 3 4katlarda cephe ankraj kanalı teslimatı tamirat yapılmadan ankraj montajı yapılması ,İmalat Hatası
Kule güneybatı cephevip giriş cephesi 456ve 7katlarda cephe ankraj kanalı etrafı graut dolguların patlaması yeni graut dolgu ihtiyacı hk ,İmalat Hatası
VT15 asansörü kuyu dibi döşeme hk ,İmalat Hatası
Ayrık podyum 7kat 2 etap 35804010 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 45 kat 1992020205 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
Kule 4440 kotu geri çekilen döşemede ankraj soketi hk ,İmalat Hatası
Kule 1290 kotu geri çekilen döşemede ankraj soketi hk ,İmalat Hatası
Podyum 7kat betonarme sıva tamiratları ,İmalat Hatası
Podyum 8kat betonarme sıva tamiratı ,İmalat Hatası
Kaba inşaattan kalan malzemelerin gönderilmemesi ,İmalat Hatası
2bodrum kat düzen  tertip hakkında ,İmalat Hatası
Zemin kat su basması hakkında ,İmalat Hatası
VT1415 asansör kuyu dibi döşemesine su akması döşemedeki çelik profillerin baklava sacların paslanmaya başlaması ,İmalat Hatası
Çok amaçlı salon üzeri 600 kotu çelik döşemede INP300 kirişin iki ucunda civataların sıkılmaması sıkılmadan trapezin döşenmesi ,İmalat Hatası
Kule 20900 kotu döşemesinde çatlak oluşması helikopter perdahı yapılmaması ,İmalat Hatası
Ayrık podyum 7kat 3 etap 35804010 kotları arası kolon perdeler döşeme altı kat geneli kaba yapı kusurları ,İmalat Hatası
